Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,One Word Substitution,Find One Word Substitution,A building where dead bodies are kept.,Cemetery,Mortuary,Crematory,Crypt,Mortuary,5.pdf
English,One Word Substitution,Find One Word Substitution,One who is all powerful.,Omniscient,Omnipotent,Omnipresent,Omnivorous,Omnipotent,5.pdf
English,One Word Substitution,Find One Word Substitution,A person who doubts the truth of what is being told.,Cynic,Miser,Critic,Sceptic,Sceptic,5.pdf
English,One Word Substitution,Find One Word Substitution,A decision taken by the votes of all.,Unanimous,Agreement,Veto,Pass,Unanimous,5.pdf
English,One Word Substitution,Find One Word Substitution,A person not accepted by society.,Misogynist,Despot,Pariah,Pirate,Pariah,5.pdf
English,Idiom,Find Idiom,On the go,In the middle of a journey,Very active or busy,Ready to start,About to collapse,Very active or busy,5.pdf
English,Idiom,Find Idiom,High as a kite.,To soar up in the sky,In a state of euphoria,Intoxicated,Very active,Intoxicated,5.pdf
English,Idiom,Find Idiom,Lick your wounds.,To bandage an injury,To accept defeat,To recover from defeat or disappointment,Self-criticism,To recover from defeat or disappointment,5.pdf
English,Idiom,Find Idiom,Burn the midnight oil.,Work late into the night,Set something alight,To stay up till midnight,To do something constantly,Work late into the night,5.pdf
English,Idiom,Find Idiom,Lose your marbles,To lose a fight,To lose one's sense of purpose,Go insane,To have lost all of one's money,Go insane,5.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"He said, ""It is time to go.""",He said that it is time to go.,He said that it is time to be gone.,He said that it was time to go.,He said that it would be time to go.,He said that it was time to go.,5.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"The policeman said, ""The thief has managed to escape.""",The policeman said that the thief has managed to escape.,The policeman said that the thief had managed to escape.,The policeman said that the thief managed to escape.,The policeman said that the thief has escaped.,The policeman said that the thief had managed to escape.,5.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,They said that they were ready to leave.,"They said, ""They were ready to leave.""","They said, ""We are ready to leave.""","They said, ""We were ready to leave.""","They said, ""They would be ready to leave.""","They said, ""We are ready to leave.""",5.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"The teacher said to the students, ""I shall meet you tomorrow.""",The teacher told the students that she would meet them the next day.,The teacher told the students that she would be meeting them the next day.,The teacher said to the students that she would meet them the next day.,The teacher said to the students that she should meet them the next day.,The teacher told the students that she would meet them the next day.,5.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,The officer said that he had already given the instructions.,"The officer said, ""I have already given my instructions.""","The officer said, ""I had already given the instructions.""","The officer said, ""I gave the instructions.""","The officer said, ""The instructions have already been given by me.""","The officer said, ""I had already given the instructions.""",5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The greatest ___ in the story,Reality,Fact,Truth,Realisation,Fact,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,of man on earth is not his material ___ ,Of,With,On,This,Of,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,his material ___, the empires he,Achievements,Victories,Successes,Conquests,Achievements,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,the empires he ___ built and,Had,Have,Has,Had been,Has,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,he has built and ___ but the growth,Broke,Breaks,Broken,Has broken,Broken,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,but the growth from age ___ age,To,And,Towards,On,To,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Those who take part ___ this adventure,On,In,At,Into,In,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,of the soul secure ___ enduring place,The,An,Its,This,An,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,enduring place in the ___ of human,History,Art,Making,Process,History,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,of human ___.,Existence,Culture,Race,Civilisation,Civilisation,5.pdf
