Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,One Word Substitution,Find One Word Substitution,To keep a great person or event in people's memory,Commensurate,Commiserate,Communicate,Commemorate,Commemorate,6.pdf
English,One Word Substitution,Find One Word Substitution,Lasting only for a very short while,Temperate,Temporal,Transparent,Temporary,Temporary,6.pdf
English,One Word Substitution,Find One Word Substitution,A number of stars grouped together,Comet,Orbit,Solar system,Constellation,Constellation,6.pdf
English,One Word Substitution,Find One Word Substitution,Found all over the world,Provincial,Regional,Universal,International,Universal,6.pdf
English,One Word Substitution,Find One Word Substitution,The murder of a man,Genocide,Homicide,Fraticide,Regicide,Homicide,6.pdf
English,One Word Substitution,Find One Word Substitution,The custom of having many wives,Misogamy,Bigamy,Polygamy,Monogamy,Polygamy,6.pdf
English,One Word Substitution,Find One Word Substitution,The custom of having many husbands,Misoginy,Polygamy,Polyandry,Monogamy,Polyandry,6.pdf
English,One Word Substitution,Find One Word Substitution,A man who rarely speaks the truth,Crook,Liar,Scoundrel,Hypocrite,Liar,6.pdf
English,Idiom,Find Idiom,His behaviour compelled me to give him a piece of my mind,To scold him,To pardon him,To make him my friend,To take him into confidence,To scold him,6.pdf
English,Idiom,Find Idiom,Please state your reasons in black and white,In short,Useless,In writing,In full swing,In writing,6.pdf
English,Idiom,Find Idiom,She is a tough nut to crack,Expensive thing,A difficult problem,A foolish search,An easy question,A difficult problem,6.pdf
English,Idiom,Find Idiom,He spoke well though it was his maiden speech,First speech,Brief speech,Long speech,Emotional speech,First speech,6.pdf
English,Idiom,Find Idiom,The trial made a mockery of justice,It was a mock trial,There was no serious outcome,People mocked at the judgement,Made the system look ridiculous,Made the system look ridiculous,6.pdf
English,Idiom,Find Idiom,My brother's zest for the new project was infectious,Greed,Fascination,Enthusiasm,None of above,Enthusiasm,6.pdf
English,Idiom,Find Idiom,Mandy kept her things in apple pie order,In random order,Related to fruits packing,Related to dry fruit packing,In perfect order,In perfect order,6.pdf
English,Antonym,Find Antonym,Arrival,Entrance,Departure,Evacuation,Influx,Departure,6.pdf
English,Antonym,Find Antonym,Beastly,Lovely,Atrocious,Awful,Proper,Lovely,6.pdf
English,Antonym,Find Antonym,Barren,Desert,Depleted,Fertile,Arid,Fertile,6.pdf
English,Antonym,Find Antonym,Sincere,Earnest,Sad,Insincere,Arrogance,Insincere,6.pdf
English,Antonym,Find Antonym,Abundance,Lavish,Scarcity,Profusion,Generous,Scarcity,6.pdf
English,Antonym,Find Antonym,Embrace,Disobey,Contradict,Reject,Obscure,Reject,6.pdf
English,Antonym,Find Antonym,Sinister,Good,Evil,Long,Short,Good,6.pdf
English,Antonym,Find Antonym,Boon,Prodigy,Advantage,Hindrance,Annihilation,Hindrance,6.pdf
English,Error Detection,Find Error,"After the summer break, school will open after two weeks.",Begin,Reopen,Start,No errors,Reopen,6.pdf
English,Error Detection,Find Error,The stream flowed gently under the bridge.,Above,Across,On,No errors,No errors,6.pdf
English,Error Detection,Find Error,The train from Chennai arrived right in schedule.,On,By,Over,No errors,On,6.pdf
English,Error Detection,Find Error,The speeding driver is finally caught over the police.,Over,Under,By,No errors,By,6.pdf
English,Error Detection,Find Error,The children enjoyed rowing the boat on the lake.,By,In,With,No errors,No errors,6.pdf
English,Error Detection,Find Error,The boy trembled in fear of the deadly snake.,By,On,With,No errors,With,6.pdf
English,Error Detection,Find Error,"The film ""Titanic"" is one of the greatest movies ever made.",Was,Had,Are,No errors,No errors,6.pdf
English,Error Detection,Find Error,He has the guts to rise from the occasion.,Rise for,Rise to,Rise at,No errors,Rise to,6.pdf
English,Error Detection,Find Error,He said every man should look up the future.,Look at,Look to,Look in,No errors,Look to,6.pdf
English,Jumbled Sentences,Find Jumbled Sentences,water supply/locality/this/has a good/,ABCD,ABDC,ACBD,CBDA,CBDA,6.pdf
English,Jumbled Sentences,Find Jumbled Sentences,the garden/Maria/vegetables in/grows/,ACBD,BDCA,BACD,DCAB,BDCA,6.pdf
English,Jumbled Sentences,Find Jumbled Sentences,to memorize/all the actors have/the new play/the lines of/,BADC,CDBA,ADCB,BDAC,BADC,6.pdf
English,Jumbled Sentences,Find Jumbled Sentences,work on time/she tells/to leave/Donbok/,DCAB,CBAD,DACB,BDCA,BDCA,6.pdf
English,Jumbled Sentences,Find Jumbled Sentences,the/nightfall/their hooting calls at/owls began/,DCAB,ADCB,ABCD,DCBA,ADCB,6.pdf
English,Jumbled Sentences,Find Jumbled Sentences,that the burglar/I read/has been caught/in the paper/,ACBD,BDAC,BACD,DCAB,BDAC,6.pdf
English,Jumbled Sentences,Find Jumbled Sentences,masterpiece/the/worked at his/artist carefully/,DCAB,CBAD,BDCA,DCBA,BDCA,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,___ have been to the football match.,Neither Andy nor I,Neither I nor Andy,Neither Andy nor me,Neither me nor Andy gives,Neither Andy nor I,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,___ there are so many things to talk about.,Between us two,Between me and you,Between I and you,Between you and I,Between me and you,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Daman ___ has been chosen for the debate competition is a clever boy.,That,Whom,Who,Which,Who,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The Chief guest said that it ___ him great pleasure to be there that evening.,Gives,Gave,Is giving,Was giving,Gave,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Sonia ___ across the field one afternoon when she heard a little boy singing.,Is strolling,Was strolling,Strolled,Has strolled,Was strolling,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Then it was a matter of (50) practical skills,Fostering,Projecting,Acquiring,Manipulating,Acquiring,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,and with a bit of luck that (51) it.,For,Was,From,With,Was,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Global competition is (52) the shelf-life of products,Replacing,Retailing,Rotating,Reducing,Reducing,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,the knowledge and skills that (53) behind them.,Lie,Exhibit,Profess,Manifest,Lie,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The pace of change can be (54),Analytical,Frightening,Interesting,Absorbing,Frightening,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Knowledge that was leading edge at one minute can become (55) the next.,Critical,Modern,Obsolete,Lamentable,Obsolete,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Therefore it is the (56) rather than knowledge that is the key.,Durability,Reactivity,Capacity,Proactivity,Capacity,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Successful organization have to learn adapt and change continuously as do the (57) within them.,Individuals,Systems,Managements,Units,Individuals,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,This is (58) in the rapid growth of knowledge workers.,Support,Echoed,Adjusted,Developed,Echoed,6.pdf
English,Fill in the Blanks,Find Fill in the Blanks,It is (59) all levels of organizations.,Directing,Providing,Affecting,Projecting,Affecting,6.pdf
English,Synonym,Find Synonym,Canny,Obstinate,Handsome,Clever,Stout,Clever,6.pdf
English,Synonym,Find Synonym,Alert,Energetic,Observant,Intelligent,Watchful,Watchful,6.pdf
English,Synonym,Find Synonym,Indict,Condemn,Reprimand,Accuse,Allege,Accuse,6.pdf
English,Synonym,Find Synonym,Lament,Complain,Comment,Condone,Console,Complain,6.pdf
English,Synonym,Find Synonym,Reckless,Courageous,Rash,Bold,Daring,Rash,6.pdf
English,Synonym,Find Synonym,Rectify,To build,Correct,Destroy,To command,Correct,6.pdf
English,Synonym,Find Synonym,Affection,Dislike,Hatred,Fondness,Disinterest,Fondness,6.pdf
English,Synonym,Find Synonym,Delicate,Fragile,Sturdy,Tough,Strong,Fragile,6.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"My friend said, ""I am leaving today.""",My friend said that he is leaving today.,My friend said that he was leaving today.,My friend said that he leaves today.,My friend said that he was leaving that day.,My friend said that he was leaving that day.,6.pdf
