Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Idiom,Find Idiom,"I am at a loss to know what to do.",At a business loss,At a relation loss,To be unable to decide,None of the above,To be unable to decide,1.pdf
English,Idiom,Find Idiom,"In our staff meeting, Mr. Lyngdoh broke the ice and suggested few great ideas.",To do something with courage,To win a prize,To speak first after long silence,To win someone's heart,To speak first after long silence,1.pdf
English,Idiom,Find Idiom,I want to win this match by hook or by crook.,By permission,By any means,By noble means,By request,By any means,1.pdf
English,Idiom,Find Idiom,"As he slipped on the bank of river, he had a close shave.",Very touching moment,A narrow escape,Nice service,Bad service,A narrow escape,1.pdf
English,Idiom,Find Idiom,"Alban was at his wit's end to find that his sister has failed.",Perplexed,Clear up,Explained,Enlighten,Perplexed,1.pdf
English,Idiom,Find Idiom,He is leaving the country for good.,For a good cause,Permanently,For better prospects,For the good of others,Permanently,1.pdf
English,Idiom,Find Idiom,The case was held over due to great opposition against it.,Stopped,Cancelled,Postponed,Dropped,Postponed,1.pdf
English,One Word Substitution,Find One Word Substitution,A book that contains information on various subjects,Dictionary,Novel,Thesaurus,Encyclopedia,Encyclopedia,1.pdf
English,One Word Substitution,Find One Word Substitution,A vain boasting fellow,Loudmouth,Liar,Rascal,Braggart,Braggart,1.pdf
English,One Word Substitution,Find One Word Substitution,The science of plants,Astronomy,Zoology,Botany,Biology,Botany,1.pdf
English,One Word Substitution,Find One Word Substitution,A person who does not eat meat,Herbivore,Non-vegetarian,Vegetarian,Carnivore,Vegetarian,1.pdf
English,One Word Substitution,Find One Word Substitution,Fear of confined places,Claustrophobia,Packophobia,Myopia,Acrophobia,Claustrophobia,1.pdf
English,One Word Substitution,Find One Word Substitution,One who does not believe in the existence of God,Atheist,Theism,Theist,Unbeliever,Atheist,1.pdf
English,One Word Substitution,Find One Word Substitution,That which can be believed,Creditable,Credible,Incredible,Credibility,Credible,1.pdf
English,One Word Substitution,Find One Word Substitution,"A system of government in which all the voters of the country can vote to elect their government",Autocracy,Demography,Democracy,Democratic,Democracy,1.pdf
English,Antonym,Find Antonym,Valuable,Invaluable,Inferior,Treasured,Worthless,Worthless,1.pdf
English,Antonym,Find Antonym,Genuine,Synthetic,Unnatural,Artificial,Real,Artificial,1.pdf
English,Antonym,Find Antonym,Superiority,Inferiority,Seniority,Juniority,Prosperity,Inferiority,1.pdf
English,Antonym,Find Antonym,Modern,Updated,Recent,Ancient,New,Ancient,1.pdf
English,Antonym,Find Antonym,Divided,Separated,Segregated,Isolated,United,United,1.pdf
English,Antonym,Find Antonym,Woeful,Laughing,Smiling,Cheerful,Depressed,Cheerful,1.pdf
English,Antonym,Find Antonym,Pacify,Aggravate,Steady,Neglect,Polite,Aggravate,1.pdf
English,Antonym,Find Antonym,Hollow,Dishonest,Stubborn,Solid,Empty,Solid,1.pdf
English,Synonym,Find Synonym,Cajole,Like,Warn,Tempt,Assure,Tempt,1.pdf
English,Synonym,Find Synonym,Abandon,Try,Join,Keep with,Forsake,Forsake,1.pdf
English,Synonym,Find Synonym,Busy,Active,Occupied,Sincere,Lazy,Occupied,1.pdf
English,Synonym,Find Synonym,Stumbling block,Advantage,Frustration,Argument,Hurdle,Hurdle,1.pdf
English,Synonym,Find Synonym,Cease,Begin,Stop,Create,Start,Stop,1.pdf
English,Synonym,Find Synonym,Chaste,Liberated,Divine,Defiled,Pure,Pure,1.pdf
English,Synonym,Find Synonym,Assertion,Discussion,Rejection,Continuation,Declaration,Declaration,1.pdf
English,Synonym,Find Synonym,Priority,Preference,Deference,Inference,Subservience,Preference,1.pdf
English,Error Detection,Find Error,"He suggested that we should be bound by a code of conduct, isn't it?","is it?","aren't we?","shouldn't we?","No error","shouldn't we?",1.pdf
English,Error Detection,Find Error,"In order to write poetry, one has to be both sensitive and creative.",over,so,almost,No error,No error,1.pdf
English,Error Detection,Find Error,"Bees produce sweet honey as its sting is deadly.",but,for,and,No error,but,1.pdf
English,Error Detection,Find Error,"I am tired as I am working since 7 o'clock in the morning.","I was working","I have been working","I had been working","No error","I have been working",1.pdf
