Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Idiom,Find Idiom,"It is challenging to reply at the spur of the moment when questioned in an interview.","Difficult moment","Without delay","Great moment","Very slow","Without delay",2.pdf
English,Idiom,Find Idiom,"Rahul was at his wit's end to find that his sister has failed.","Perplexed","Clear up","Explain","Enlighten","Perplexed",2.pdf
English,Idiom,Find Idiom,"He has recovered from illness and now he is as fit as a fiddle.","Very weak","Recovering from illness","Looks fit but not fit actually","Strong and healthy","Strong and healthy",2.pdf
English,Idiom,Find Idiom,"All three brothers are at loggerheads because of land dispute.","In difficulty","To be in conflict","Very happy together","None of the above","To be in conflict",2.pdf
English,Idiom,Find Idiom,"I am at a loss regarding what to do.","At a business loss","At a relation loss","To be unable to decide","None of the above","To be unable to decide",2.pdf
English,One Word Substitution,Find One Word Substitution,"A man who rarely speaks the truth","Crook","Liar","Scoundrel","Hypocrite","Liar",2.pdf
English,One Word Substitution,Find One Word Substitution,"The custom of having many wives","Misogamy","Bigamy","Polygamy","Monogamy","Polygamy",2.pdf
English,One Word Substitution,Find One Word Substitution,"A doctor who treats skin diseases","Cardiologist","Dermatologist","Dentist","Pediatrician","Dermatologist",2.pdf
English,One Word Substitution,Find One Word Substitution,"A person who studies stars, planets and other heavenly bodies","Astrologer","Raconteur","Flounder","Astronomer","Astronomer",2.pdf
English,One Word Substitution,Find One Word Substitution,"A person who is killed because of their religious or other beliefs","Soldier","Revolutionary","Martyr","Patriot","Martyr",2.pdf
English,Antonym,Find Antonym,"Glory","Splendour","Reputation","Fame","Debasement","Debasement",2.pdf
English,Antonym,Find Antonym,"Superiority","Seniority","Juniority","Inferiority","Posteriority","Inferiority",2.pdf
English,Antonym,Find Antonym,"Testify","Falsify","Witness","Evidence","Confide","Falsify",2.pdf
English,Antonym,Find Antonym,"Repulsive","Meek","Alluring","Hideous","Exhibiting","Alluring",2.pdf
English,Antonym,Find Antonym,"Expand","Congest","Conclude","Condense","Convert","Condense",2.pdf
English,Synonym,Find Synonym,"Cancel","Allow","Abolish","Approve","Break","Abolish",2.pdf
English,Synonym,Find Synonym,"Germinate","Decay","Breed","Produce","Sprout","Sprout",2.pdf
English,Synonym,Find Synonym,"Paltry","Insignificant","Unfair","Average","Slovenly","Insignificant",2.pdf
English,Synonym,Find Synonym,"Stupid","Rude","Dull","Illiterate","Obstinate","Dull",2.pdf
English,Synonym,Find Synonym,"Showy","Ugly","Rowdy","Gaudy","Greedy","Gaudy",2.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"The man exclaimed that his wallet was stolen.","""My wallet was stolen!"" the man said.","""Somebody stole my wallet !"" exclaimed the man.","The man exclaimed, ""My wallet was stolen !""","The man cried, ""My wallet was stolen.""","""My wallet was stolen!"" the man said.",2.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"Rima said to Priya, ""Why are you sketching on the wall?""","Rima asked Priya why was she sketching on the wall.","Rima asked Priya why had she been sketching on the wall.","Rima asked Priya that why she is sketching on the wall.","Rima asked Priya why is she sketching on the wall.","Rima asked Priya why she was sketching on the wall.",2.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"""Stand at ease,"" the soldier said to his men.","The soldier told his men that they should stand at ease.","The soldier said to his men that they should stand at ease.","The soldier urged his men to stand at ease.","The soldier commanded his men to stand at ease.","The soldier commanded his men to stand at ease.",2.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"Mr. Swer asked the lady if she could tell him where the nearest post office is.","""Where is the nearest post office?"" Mr. Swer asked the lady.","Mr. Swer asked the lady, ""Could you tell me where the nearest post office is?""","Mr. Swer asked the lady, ""Where is the nearest post office?""","Mr. Swer said to the lady, ""Where is the nearest post office?""","Mr. Swer asked the lady, ""Could you tell me where the nearest post office is?""",2.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"The Professor said that nobody could solve the problem.","The Professor said, ""Nobody can solve the problem.""","The Professor said, ""Nobody could solve the problem.""","The Professor exclaimed, ""Nobody could solve the problem.""","The Professor exclaimed, ""Nobody can solve the problem.""","The Professor said, ""Nobody can solve the problem.""",2.pdf
English,Error Detection,Find Error,"He suggested that we should be bound by a code of conduct, isn't it?","is it","aren't we","shouldn't we","No error","shouldn't we",2.pdf
English,Error Detection,Find Error,"In order to write poetry, one has to be both sensitive and creative.","over","so","almost","No error","No error",2.pdf
English,Error Detection,Find Error,"Bees produce sweet honey as its sting is deadly.","but","for","and","No error","but",2.pdf
English,Error Detection,Find Error,"I am tired as I am working since 7 o'clock in the morning.","I was working","I have been working","I had been working","No error","I have been working",2.pdf
English,Error Detection,Find Error,"Sheela told her teacher to explain the chapter once again.","ordered her teacher","said to her teacher","asked her teacher","No error","asked her teacher",2.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(a) children / (b) the / (c) were / (d) the animals / (e) fascinated by","baced","cbaed","edcba","dceba","baced",2.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(a) plays an / (b) upbringing / (c) important / (d) personal progress / (e) role in","ebacd","bdace","daceb","baced","baced",2.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(a) an/ (b) him popular / (c) made / (d) unexpected / (e) victory","adecb","dcbae","cbade","aecbd","adecb",2.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(a) the coastline / (b) the rugged / (c) they / (d) beauty of / (e) admired","acebd","cebda","caebd","dcbae","cebda",2.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(a) free time / (b) with / (c) little / (d) left her/ (e) her job","adebc","dabce","edbca","dacbe","edbca",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"If you ___ be free from all physical aches and pains and enjoy perfect physical harmony, then put your mind in order","will","can","would","could","would",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"put your mind in ___ and harmonize your thoughts.","shape","order","form","system","order",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Let the elixir of goodwill ___ through your veins and you will need no other medicine.","walk","course","race","run","course",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"___ your jealousies, suspicions, your worries, your hatreds","throw up","set down","put away","resist on","put away",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"do not complain when your body is ___ with sickness.","laid low","put up","lay down","laid up","laid low",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Professionals ___ as doctors and lawyers are part of the programme.","such","like","are","and","such",2.pdf
