Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Fill in the Blanks,Find Fill in the Blanks,Mary is hanging ___ the central library waiting for her friend.,in,at,around,round,around,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Hard work is indispensable ___ success.,for,in,at,to,to,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Have you begun to key ___ the annual report?,in,on,to,at,in,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He sighed ___ satisfaction.,in,over,for,with,with,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,She was negligent ___ her duties.,with,in,about,of,in,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He refused to partake ___ the feast.,in,of,at,with,of,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He was ___ suspicion for irregular practices.,above,in,on,under,under,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,All the servants waited ___ her.,upon,on,for,with,on,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"When John was moving ___ his office, he was attacked.",in,inside,to,towards,towards,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The old man sat ___ the fire.,beside,near,by,besides,by,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Worshipping the sun is prevalent ___ the tribals.,to,among,of,in,among,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The cat ran ___ the wall.,up,along,across,towards,along,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He appealed ___ the judgement.,over,to,against,for,against,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He makes no pretensions ___ the wealth of his learning.,about,in,over,to,to,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Do not hanker ___ wealth.,over,upon,after,in,after,4.pdf
English,Idiom,Find Idiom,Aboveboard means,ready to go,to work enthusiastically,to stand out,being fair and honest,being fair and honest,4.pdf
English,Idiom,Find Idiom,Have an axe to grind means,to have unfinished business,to solve a difficult problem,to have a self-interested motive,to redeem oneself,to have a self-interested motive,4.pdf
English,Idiom,Find Idiom,Ins and outs means,the entrances and exits,absolutely necessary,the minute particulars,the problems and solutions,the minute particulars,4.pdf
English,Idiom,Find Idiom,Itching palm means,getting rich,losing money,greed for money,making generous donation,greed for money,4.pdf
English,Idiom,Find Idiom,The small hours means,in a short while,in the morning,the initial stage,between one and three o'clock in the morning,between one and three o'clock in the morning,4.pdf
English,Idiom,Find Idiom,Keep body and soul together means,keeping body and soul intact,stay physically fit,stay alive,have bare minimum,stay alive,4.pdf
English,Idiom,Find Idiom,Kiss the rod means,be in pain,embrace challenges,submit to correction,in trouble,submit to correction,4.pdf
English,Idiom,Find Idiom,Cry for the moon means,cry for help,yearning for solace,accomplish incredible feats,crave the unattainable,crave the unattainable,4.pdf
English,Idiom,Find Idiom,Salt of the earth means,the very best,the technical know-how,unwanted possession,of lesser importance,the very best,4.pdf
English,Idiom,Find Idiom,High words means,wise words,bombastic words,angry words,comforting words,angry words,4.pdf
